,Unnamed: 0,task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session,syl_group,syl_type,resp_group,resp_type,correct,valid,year,generalized
3,3,All;drillers;actors/Most not;nurses;drillers,Most not;nurses;actors,All;actors;nurses|All;nurses;actors|No;actors;nurses|No;nurses;actors|Some;actors;nurses|Some;nurses;actors|Some not;actors;nurses|Some not;nurses;actors|Most;actors;nurses|Most;nurses;actors|Most not;actors;nurses|Most not;nurses;actors|NVC,syllogistic-generalized,single-choice,21_participant_0,3,77077.0,AD2,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AD,ug,D,g,False,False,2021,True
5,5,Most;actuaries;boxers/Most not;opticians;actuaries,NVC,All;boxers;opticians|All;opticians;boxers|No;boxers;opticians|No;opticians;boxers|Some;boxers;opticians|Some;opticians;boxers|Some not;boxers;opticians|Some not;opticians;boxers|Most;boxers;opticians|Most;opticians;boxers|Most not;boxers;opticians|Most not;opticians;boxers|NVC,syllogistic-generalized,single-choice,21_participant_0,5,49514.0,TD2,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,TD,gg,NVC,NVC,True,False,2021,True
7,7,Most not;runners;chefs/Most;chefs;scientists,Most not;runners;scientists,All;runners;scientists|All;scientists;runners|No;runners;scientists|No;scientists;runners|Some;runners;scientists|Some;scientists;runners|Some not;runners;scientists|Some not;scientists;runners|Most;runners;scientists|Most;scientists;runners|Most not;runners;scientists|Most not;scientists;runners|NVC,syllogistic-generalized,single-choice,21_participant_0,7,96281.0,DT1,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,TD,gg,D,g,False,False,2021,True
8,8,All;scientists;chefs/Most not;runners;chefs,Most not;runners;scientists,All;scientists;runners|All;runners;scientists|No;scientists;runners|No;runners;scientists|Some;scientists;runners|Some;runners;scientists|Some not;scientists;runners|Some not;runners;scientists|Most;scientists;runners|Most;runners;scientists|Most not;scientists;runners|Most not;runners;scientists|NVC,syllogistic-generalized,single-choice,21_participant_0,8,121539.0,AD3,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AD,ug,D,g,True,True,2021,True
9,9,All;linguists;divers/Most;carpenters;divers,Most;linguists;carpenters,All;linguists;carpenters|All;carpenters;linguists|No;linguists;carpenters|No;carpenters;linguists|Some;linguists;carpenters|Some;carpenters;linguists|Some not;linguists;carpenters|Some not;carpenters;linguists|Most;linguists;carpenters|Most;carpenters;linguists|Most not;linguists;carpenters|Most not;carpenters;linguists|NVC,syllogistic-generalized,single-choice,21_participant_0,9,45777.0,AT3,Tac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,AT,ug,T,g,False,False,2021,True
13,13,Most not;judges;brewers/Most;judges;porters,Most not;porters;brewers,All;brewers;porters|All;porters;brewers|No;brewers;porters|No;porters;brewers|Some;brewers;porters|Some;porters;brewers|Some not;brewers;porters|Some not;porters;brewers|Most;brewers;porters|Most;porters;brewers|Most not;brewers;porters|Most not;porters;brewers|NVC,syllogistic-generalized,single-choice,21_participant_0,13,66558.0,DT4,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,TD,gg,D,g,False,True,2021,True
14,14,Most;doctors;climbers/Most not;doctors;tellers,Most not;climbers;tellers,All;climbers;tellers|All;tellers;climbers|No;climbers;tellers|No;tellers;climbers|Some;climbers;tellers|Some;tellers;climbers|Some not;climbers;tellers|Some not;tellers;climbers|Most;climbers;tellers|Most;tellers;climbers|Most not;climbers;tellers|Most not;tellers;climbers|NVC,syllogistic-generalized,single-choice,21_participant_0,14,29380.0,TD4,Dac,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,TD,gg,D,g,False,True,2021,True
16,16,Some;designers;trainers/Most;architects;trainers,NVC,All;designers;architects|All;architects;designers|No;designers;architects|No;architects;designers|Some;designers;architects|Some;architects;designers|Some not;designers;architects|Some not;architects;designers|Most;designers;architects|Most;architects;designers|Most not;designers;architects|Most not;architects;designers|NVC,syllogistic-generalized,single-choice,21_participant_0,16,73430.0,IT3,NVC,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,IT,ge,NVC,NVC,True,False,2021,True
19,19,No;boxers;typists/Most;boxers;dancers,No;dancers;typists,All;typists;dancers|All;dancers;typists|No;typists;dancers|No;dancers;typists|Some;typists;dancers|Some;dancers;typists|Some not;typists;dancers|Some not;dancers;typists|Most;typists;dancers|Most;dancers;typists|Most not;typists;dancers|Most not;dancers;typists|NVC,syllogistic-generalized,single-choice,21_participant_0,19,170795.0,ET4,Eca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,ET,ug,E,u,False,True,2021,True
22,22,Most not;actors;painters/Some not;actors;workers,Most not;workers;painters,All;painters;workers|All;workers;painters|No;painters;workers|No;workers;painters|Some;painters;workers|Some;workers;painters|Some not;painters;workers|Some not;workers;painters|Most;painters;workers|Most;workers;painters|Most not;painters;workers|Most not;workers;painters|NVC,syllogistic-generalized,single-choice,21_participant_0,22,126321.0,DO4,Dca,male,bachelors,10,90,95,20,yes,"I tried to remember a pattern of the two statements shown, and remember what logic to use if I see that pair of statements come up.",no,81,66,40,yes,,,1,OD,ge,D,g,False,False,2021,True
